,"('Financial News', 'negative')","('Financial News', 'neutral')","('Financial News', 'positive')","('IMDB', 'negative')","('IMDB', 'positive')","('Movie Reviews', 'neg')","('Movie Reviews', 'pos')"
"('Financial News', 'negative')",0.0,0.30830208199495146,0.14668909964259136,14.841203131932607,15.362944235652133,0.7028352523088771,0.8650633726711787
"('Financial News', 'neutral')",0.30830208199495146,0.0,0.04932490389287003,11.768492944249612,12.21426297259606,0.23666843385277636,0.28840883824174346
"('Financial News', 'positive')",0.14668909964259136,0.04932490389287003,0.0,12.849916597320027,13.297429238601751,0.354109013695347,0.4398856037245474
"('IMDB', 'negative')",14.841203131932607,11.768492944249612,12.849916597320027,0.0,0.3145170646670245,10.171217468385255,9.595022269144899
"('IMDB', 'positive')",15.362944235652133,12.21426297259606,13.297429238601751,0.3145170646670245,0.0,10.66333986917617,10.008189153692275
"('Movie Reviews', 'neg')",0.7028352523088771,0.23666843385277636,0.354109013695347,10.171217468385255,10.66333986917617,0.0,0.020235555156080595
"('Movie Reviews', 'pos')",0.8650633726711787,0.28840883824174346,0.4398856037245474,9.595022269144899,10.008189153692275,0.020235555156080595,0.0
