,Crowd Flower,Emotions Dataset,Twitter
Crowd Flower,0.0,0.16495454917122893,0.38671406333150665
Emotions Dataset,0.16495454917122893,0.0,0.42398128218918874
Twitter,0.38671406333150665,0.42398128218918874,0.0
