,"('Crowd Flower', 'anger')","('Crowd Flower', 'boredom')","('Crowd Flower', 'empty')","('Crowd Flower', 'enthusiasm')","('Crowd Flower', 'fun')","('Crowd Flower', 'happiness')","('Crowd Flower', 'hate')","('Crowd Flower', 'love')","('Crowd Flower', 'neutral')","('Crowd Flower', 'relief')","('Crowd Flower', 'sadness')","('Crowd Flower', 'surprise')","('Crowd Flower', 'worry')","('Emotions Dataset', 'anger')","('Emotions Dataset', 'fear')","('Emotions Dataset', 'joy')","('Emotions Dataset', 'love')","('Emotions Dataset', 'sadness')","('Emotions Dataset', 'surprise')","('TwitterOne', 'angry')","('TwitterOne', 'disgust')","('TwitterOne', 'fear')","('TwitterOne', 'happy')","('TwitterOne', 'sad')","('TwitterOne', 'surprise')","('TwitterTwo', 'angry')","('TwitterTwo', 'disgust')","('TwitterTwo', 'fear')","('TwitterTwo', 'happy')","('TwitterTwo', 'sad')","('TwitterTwo', 'surprise')"
"('Crowd Flower', 'sadness')",2.7751950169766624,0.7170206526276419,0.22514740647170933,0.043010209969551134,0.022132469652601017,0.021619111925406116,0.021836486450906092,0.03861133923740421,0.09372366416499889,0.017787483538856362,0.0,0.013100308323557006,0.0048928874124957965,0.13180493772504778,0.13382569439727526,0.15911087971183738,0.1830690571849662,0.12568491751322938,0.1710056383770125,0.32226179049330406,0.703162382384384,0.3507787042867325,0.3879789584801857,0.3318692484096005,2.9669967141225047,0.2595439568322625,0.9691153422298747,0.322312112187076,0.387978605522929,0.32554994428409284,2.7806622557901934
"('Crowd Flower', 'surprise')",2.656594644663544,0.6587126356556244,0.18823242255744194,0.027419518366625827,0.01576488643636527,0.010297388539158354,0.022714247119249277,0.02319200712568867,0.06906904511360662,0.013587813604365466,0.013100308323557006,0.0,0.014847035238682386,0.1676851089354173,0.1649401926335491,0.20337394826205515,0.22516508829130805,0.1643131185287275,0.2002175783534026,0.33142163746427783,0.6490622970685201,0.32211444661491273,0.4015628367137677,0.3588306807024471,2.809523374304539,0.26465283744922885,0.8890702906704927,0.3006302791722413,0.4063754432577603,0.352928097656365,2.6295533051452438
"('Crowd Flower', 'worry')",2.8772805057350257,0.7716225887574969,0.25510908836609536,0.05122689257503527,0.01839063131803893,0.024499036437642653,0.02751477555009034,0.04833773063637719,0.11093478239763302,0.020530016323346948,0.0048928874124957965,0.014847035238682386,0.0,0.13011157177413094,0.13338502032460936,0.15000671779892838,0.17574220406509478,0.12594818928266607,0.17804500616618057,0.30424616825294015,0.7299676347978232,0.3566874891707335,0.35709340019882096,0.3049147427427824,3.0637733312502013,0.24587004519371913,1.0121962662748603,0.32763225380080196,0.35662623513585534,0.30036430172080864,2.875081513410792
"('Emotions Dataset', 'anger')",2.896660466715149,0.8595341472954257,0.3963746105273549,0.200994724094895,0.18238872944886536,0.19311939160295036,0.1583977379422843,0.20244725737454114,0.27006250274306426,0.1644755307470381,0.13180493772504778,0.1676851089354173,0.13011157177413094,0.0,0.009603052031116992,0.03063824223732129,0.03307546078105207,0.006563203464967126,0.04141051730678237,0.4242100167721431,0.8471048712892779,0.4844240572406005,0.5287173507923296,0.435247440826378,3.1172097269086905,0.37508346278499133,1.1152505138913158,0.4493697398711999,0.5091534832403608,0.4358730199258549,2.9463985309415
"('Emotions Dataset', 'fear')",2.7849523477615135,0.8021885189317074,0.36105106383072916,0.1857725149552392,0.18369346453002364,0.18460590948775152,0.16120134490465296,0.19206796243089547,0.24536418445416164,0.15853761115773088,0.13382569439727526,0.1649401926335491,0.13338502032460936,0.009603052031116992,0.0,0.040252550563443984,0.04200397312683671,0.010779909672866544,0.02807938455111403,0.4397136678323902,0.7852956366105397,0.45629265897431304,0.5491154526370797,0.4556946846630974,2.9815965517034306,0.39050414262542305,1.0542018448724935,0.4220912984800371,0.5325001679268697,0.4604188308053989,2.824693317438142
"('Emotions Dataset', 'joy')",3.2373359329948745,1.0588206319799855,0.5284285039586538,0.2540392557769686,0.1977870785601976,0.21657002752406146,0.2061355432081406,0.24683041139130119,0.3565894652419971,0.19483334118806156,0.15911087971183738,0.20337394826205515,0.15000671779892838,0.03063824223732129,0.040252550563443984,0.0,0.015414377599465838,0.02874481082853953,0.0727396096276702,0.4022936962435309,0.9530433040885617,0.5327641441414482,0.4429642433429245,0.3717696113686737,3.4184073412060125,0.3708438890734618,1.2728385723675466,0.48934070505101,0.4252386401276379,0.37756294714531613,3.261590049033392
"('Emotions Dataset', 'love')",3.139585800300936,1.0185392078406186,0.532463126403826,0.27200440702312256,0.21987800112992437,0.24076814967331023,0.22285384119707718,0.2603436051921144,0.3738159807501552,0.2223317483709615,0.1830690571849662,0.22516508829130805,0.17574220406509478,0.03307546078105207,0.04200397312683671,0.015414377599465838,0.0,0.035430287338061923,0.06512206093662141,0.4074065140696064,0.9113890687564434,0.5209910441130414,0.46080805704997607,0.3844797917859742,3.3235830607322843,0.3775820727374263,1.230103696180331,0.4727506952770125,0.44715157351770857,0.39301243022182447,3.182449811786005
"('Emotions Dataset', 'sadness')",2.8852767706510534,0.8549222857353189,0.38506649859052183,0.19348914158866665,0.18203076431549325,0.18620116273588389,0.1554175818782112,0.19618869734450925,0.25912662032404193,0.15652928894717066,0.12568491751322938,0.1643131185287275,0.12594818928266607,0.006563203464967126,0.010779909672866544,0.02874481082853953,0.035430287338061923,0.0,0.03824507938305879,0.4228058368527038,0.822892799072557,0.47838735959509227,0.5239299103994101,0.4280547795045947,3.087078476185935,0.37445661183701556,1.0938623444278772,0.4332087890998486,0.5069483383276361,0.42806184018970445,2.923353151994591
"('Emotions Dataset', 'surprise')",2.587795453223628,0.7158181423359907,0.35408553718676683,0.2075173455058308,0.21795908284809248,0.21128944085101214,0.19279623388373646,0.21405527901942026,0.2654945518845417,0.19100436867596735,0.1710056383770125,0.2002175783534026,0.17804500616618057,0.04141051730678237,0.02807938455111403,0.0727396096276702,0.06512206093662141,0.03824507938305879,0.0,0.48231117196727935,0.7210210139342432,0.4426501802790455,0.6032151768697883,0.5093587950282651,2.784753914108209,0.4252627179801056,0.9652296912635406,0.4178315917174496,0.5920057865085631,0.5175116915647097,2.618470915146475
"('TwitterOne', 'angry')",3.3690472080626637,1.2324710783771873,0.7227259019495416,0.38387611942016964,0.3004792852471071,0.34629027018995484,0.35609783506665904,0.39669907711115626,0.5405280129962671,0.3522680016162334,0.32226179049330406,0.33142163746427783,0.30424616825294015,0.4242100167721431,0.4397136678323902,0.4022936962435309,0.4074065140696064,0.4228058368527038,0.48231117196727935,0.0,0.576711201959299,0.211304251757882,0.07860432347713708,0.05709953305696979,3.1827985287258778,0.03508331903588232,0.9086946100687006,0.16322836348646208,0.08645289343626955,0.05595429742374879,2.996517981211581
